open_day,link,p_rate,p_name,tags,open_time,category,p_id,address,price
"월~목 10:00 ~ 03:00
더보기",https://place.map.kakao.com/27410769#comment,0/5,동서울 그랜드볼링센터,,볼링장,a,a32,서울 광진구 강변역로 50 6층 (우)05116,
"월~목 12:00 ~ 02:00
더보기",https://place.map.kakao.com/27265440#comment,0/5,천호락볼링클럽 영등포지점,,볼링장,a,a35,서울 영등포구 국회대로36길 17 (우)07257,
연중무휴,https://place.map.kakao.com/8140805#comment,0/5,한숲볼링장,"☆ KBS 2TV 주말드라마 아이가다섯 촬영지 한숲볼링장 !
한숲볼링장, 단체모임환영, 최신시설완비, 주차장완비.

☆ 일반볼링 이용요금
- [평일]시간 : 10:00~17:00 / 금액 : 3,500원
- [평일]시간 : 17:00~21:30 / 금액 : 4,500원
- [휴일(토요일, 공휴일)] 금액 : 5,000원
☆ 락볼링 이용요금
- [평일] 5,000원
- [휴일(토요일, 공휴일)] 5,500원

많은 이용 바랍니다.",볼링장,a,a36,서울 동작구 여의대방로 250 대림쇼핑타운 3층 (우)06943,
"매일 00:00 ~ 24:00
더보기",https://place.map.kakao.com/142264707#comment,0/5,스매싱볼 종로점,,볼링장,a,a37,서울 종로구 종로 78 지하1층 (우)03190,
,https://place.map.kakao.com/7846628#comment,0/5,동양볼링센터,,볼링장,a,a38,서울 영등포구 선유로 27 (우)07285,
"매일 00:00 ~ 24:00
더보기",https://place.map.kakao.com/2025468225#comment,0/5,어썸라운지볼링장,,볼링장,a,a39,서울 종로구 성균관로 12 유니지오빌딩 지하1층 (우)03074,
매일 00:00 ~ 24:00,https://place.map.kakao.com/13620229#comment,0/5,스타24동네볼링장,,볼링장,a,a310,서울 서초구 서초대로 350 (우)06631,
,https://place.map.kakao.com/11665642#comment,0/5,현대볼링장,,볼링장,a,a311,서울 중랑구 용마산로129나길 6 (우)02068,
"월~목 11:00 ~ 05:00
더보기",https://place.map.kakao.com/1600512473#comment,0/5,홍대볼링장,,볼링장,a,a313,서울 마포구 양화로 156 LG팰리스빌딩 3층 (우)04050,
,https://place.map.kakao.com/22479753#comment,0/5,삼모스포렉스볼링센타,,볼링장,a,a314,서울 관악구 신림로59길 23 (우)08776,
"매일 00:00 ~ 24:00
더보기",https://place.map.kakao.com/2136962515#comment,0/5,굿모닝시티볼,,볼링장,a,a40,서울 중구 장충단로 247 굿모닝쇼핑몰 5층 (우)04564,
매일 10:00 ~ 04:00,https://place.map.kakao.com/645140830#comment,0/5,타워락볼링장,,볼링장,a,a41,서울 강서구 마곡중앙6로 16 GMG타워 801호 (우)07801,
,https://place.map.kakao.com/285644552#comment,0/5,길거리 돔 볼링장,,볼링장,a,a42,"서울 구로구 경인로 397 골든타워빌딩 지하 1,2층 (우)08227",
매일 11:00 ~ 06:00,https://place.map.kakao.com/26827529#comment,0/5,라인볼링장,,볼링장,a,a43,서울 성동구 고산자로6길 40 (우)04745,
,https://place.map.kakao.com/18544360#comment,0/5,로얄볼링센타,,볼링장,a,a44,서울 서초구 방배로13길 18 (우)06683,
,https://place.map.kakao.com/1550142116#comment,0/5,볼링아이,,볼링장,a,a45,서울 용산구 독서당로 46 지하2층 (우)04410,
"매일 10:30 ~ 04:30
더보기",https://place.map.kakao.com/1759574707#comment,0/5,잠실볼링장,,볼링장,a,a46,서울 송파구 백제고분로 75 올림피아 지하2층 202호 (우)05561,
,https://place.map.kakao.com/12046692#comment,0/5,그랜드스포츠볼링센타,,볼링장,a,a47,서울 금천구 가산로9길 9 (우)08516,
,https://place.map.kakao.com/17968281#comment,0/5,공릉볼링센타,,볼링장,a,a48,서울 노원구 동일로180길 14 (우)01848,
"매일 14:00 ~ 06:00
더보기",https://place.map.kakao.com/26223049#comment,0/5,비어앤볼,"볼링과 음악, 펍이 점목된 문화공간",볼링장,a,a410,서울 서초구 서초대로73길 42 리가스퀘어 2층 201호 (우)06612,
"매일 10:00 ~ 05:00
더보기",https://place.map.kakao.com/26790400#comment,0/5,가인볼링장 길동2호점,,볼링장,a,a411,"서울 강동구 양재대로113길 51 지하 1,2층 (우)05354",
,https://place.map.kakao.com/16620078#comment,0/5,럭키볼링센터,,볼링장,a,a412,서울 강북구 한천로 1013 (우)01064,
매일 10:00 ~ 06:00,https://place.map.kakao.com/7942490#comment,0/5,성신볼링센터,,볼링장,a,a413,서울 성북구 보문로34길 69 (우)02845,
,https://place.map.kakao.com/20552187#comment,0/5,크로바볼링장,,볼링장,a,a50,서울 금천구 시흥대로 440 (우)08544,
매일 00:00 ~ 24:00,https://place.map.kakao.com/24856497#comment,0/5,스핀볼링장,,볼링장,a,a51,서울 강동구 올림픽로 664 (우)05328,
,https://place.map.kakao.com/9734756#comment,0/5,뉴청룡볼링장,,볼링장,a,a52,서울 용산구 한강대로 257 (우)04322,
매일 10:00 ~ 01:00,https://place.map.kakao.com/1274626649#comment,0/5,타겟볼링,,볼링장,a,a55,서울 서대문구 신촌역로 10 지하1층 (우)03766,
,https://place.map.kakao.com/18231289#comment,0/5,뉴원일 볼링센터,,볼링장,a,a56,서울 서대문구 수색로 48 (우)03712,
,https://place.map.kakao.com/8728681#comment,0/5,강서볼링장,,볼링장,a,a58,서울 강서구 양천로 706 (우)07556,
,https://place.map.kakao.com/1691855009#comment,0/5,스핀볼링센터 가든5점,,볼링장,a,a59,서울 송파구 충민로 52 지하1층 57호 (우)05839,
,https://place.map.kakao.com/919891766#comment,0/5,팡팡락볼링장,,볼링장,a,a510,서울 송파구 올림픽로 114 (우)05558,
매일 12:00 ~ 04:00 (클럽타임 18:00 ~ 04:00),https://place.map.kakao.com/2000195418#comment,0/5,클럽스트라이크,인더스트리얼 락볼링장,볼링장,a,a511,서울 마포구 마포대로 52 고려아카데미텔2 4층 403호 (우)04168,
,https://place.map.kakao.com/27239842#comment,0/5,성대볼링센타,,볼링장,a,a512,서울 동작구 상도로 102 (우)07041,
"매일 09:00 ~ 03:00
더보기",https://place.map.kakao.com/1724053574#comment,0/5,BK플러스볼링센터,,볼링장,a,a513,서울 중랑구 봉화산로 221 지하 2층 (우)02054,
,https://place.map.kakao.com/1246258129#comment,0/5,스핀볼링센터 연신내점,,볼링장,a,a514,서울 은평구 통일로 842 범서빌딩 3층 (우)03350,
,https://place.map.kakao.com/677943708#comment,0/5,블랙홀볼링장,"최신식,최첨단 볼링센터",볼링장,a,a70,서울 노원구 화랑로 325 우현빌딩 4층 (우)01904,
,https://place.map.kakao.com/26791120#comment,0/5,그린라이트볼링장,,볼링장,a,a71,서울 노원구 상계로 55 금오위성프라자 지하1층 (우)01694,
,https://place.map.kakao.com/27441675#comment,0/5,에스원볼링센터,,볼링장,a,a73,서울 송파구 올림픽로 545 하이마트 2층 (우)05530,
,https://place.map.kakao.com/9455030#comment,0/5,청남볼링센터,,볼링장,a,a74,서울 서초구 동작대로 204 (우)06555,
,https://place.map.kakao.com/2057908291#comment,0/5,나인티나인,,볼링장,a,a75,서울 종로구 대학로 144 4층 (우)03084,
,https://place.map.kakao.com/977330348#comment,0/5,보라매볼링장,,볼링장,a,a76,서울 동작구 보라매로5가길 16 (우)07071,
,https://place.map.kakao.com/307535010#comment,0/5,아우라스타코리아,,볼링장,a,a77,서울 송파구 오금로11길 12 (우)05548,
"월~금 12:00 ~ 05:00
더보기",https://place.map.kakao.com/1141915256#comment,0/5,인스타볼링앤펍,,볼링장,a,a79,서울 서대문구 연세로 8-1 버티고빌딩 2층 (우)03779,
,https://place.map.kakao.com/16376868#comment,0/5,스타볼링센터,,볼링장,a,a710,서울 동대문구 천호대로 405 지하2층 (우)02633,
,https://place.map.kakao.com/27071953#comment,0/5,금성볼링장,,볼링장,a,a713,서울 서초구 서초중앙로 85 (우)06650,
,https://place.map.kakao.com/9707155#comment,0/5,건영옴니볼링센타,"서울시 노원구 중계동 위치, 볼링 강좌, 시설소개, 이용안내, 온라인 예약 등 안내.",볼링장,a,a81,서울 노원구 섬밭로 258 건영옴니백화점 지하 2층 (우)01779,
,https://place.map.kakao.com/19265275#comment,0/5,코오롱스포렉스 볼링장,,볼링장,a,a82,서울 서초구 서초대로70길 32 코오롱스포렉스 본관 (우)06623,
,https://place.map.kakao.com/57016511#comment,0/5,브로젝스홍대점,,볼링장,a,a84,서울 마포구 독막로7길 48 (우)04048,
,https://place.map.kakao.com/2092709559#comment,0/5,마포구민체육센터 볼링장,,볼링장,a,a85,서울 마포구 월드컵로25길 190 2층 (우)03954,
,https://place.map.kakao.com/16326715#comment,0/5,현대프라자 볼링장,,볼링장,a,a86,서울 강동구 진황도로 18 (우)05335,
매일 10:00 ~ 03:00,https://place.map.kakao.com/932300437#comment,0/5,파인락볼링장,,볼링장,a,a88,서울 강서구 마곡중앙4로 22 지하1층 (우)07631,
,https://place.map.kakao.com/41918748#comment,0/5,KBS스포츠월드 볼링센터,,볼링장,a,a89,서울 강서구 공항대로 376 (우)07648,
,https://place.map.kakao.com/968458876#comment,0/5,블루나인볼링장,,볼링장,a,a810,서울 강서구 양천로 583 (우)07547,
,https://place.map.kakao.com/1986268821#comment,0/5,놀자GO볼링장,,볼링장,a,a811,서울 강동구 천호대로157길 14 5층 (우)05335,
,https://place.map.kakao.com/12344945#comment,0/5,우리볼링장,,볼링장,a,a812,서울 성북구 장위로 189 (우)02764,
매일 10:30 ~ 02:00,https://place.map.kakao.com/8967024#comment,0/5,동아볼링센터,볼링장,볼링장,a,a814,서울 종로구 종로 413 (우)03111,
,https://place.map.kakao.com/117930122#comment,0/5,쌍문나이스락볼링센터,,볼링장,a,a90,서울 도봉구 도봉로114길 22-8 (우)01455,
연중무휴,https://place.map.kakao.com/15064790#comment,0/5,G2 Zone 볼링장,,볼링장,a,a91,서울 금천구 벚꽃로 266 마리오아울렛 3관 11층 (우)08511,
,https://place.map.kakao.com/1406416712#comment,0/5,비에비뉴,,볼링장,a,a92,서울 송파구 백제고분로 63 위너스오피스텔 지하1층 (우)05556,
"월~목 11:00 ~ 05:00
더보기",https://place.map.kakao.com/1591332885#comment,0/5,제이앤제이볼링센터,,볼링장,a,a93,서울 관악구 신림로 340 르네상스 4층 (우)08754,
,https://place.map.kakao.com/21572724#comment,0/5,RNB볼링장,,볼링장,a,a911,서울 강북구 도봉로 34 8층 (우)01220,
,https://place.map.kakao.com/9933011#comment,0/5,장위볼링센터,"안녕하십니까? 역사와 전통의 장위볼링센터입니다

서울 성북구 장위동에 위치하고 있는 저희 장위볼링센터는
2012년 9월 1일부터 새로운 모습으로 여러분을 모시고 있습니다.

쾌적한 환경과 친절을 최고의 서비스로 여기며
여러분 곁에 늘 함께 할 수 있도록 노력하겠습니다.

볼링은 단순해 보이지만 고도의 정확성과 집중력을 필요로 하는 지적인 스포츠입니다.
또한 자연스러운 사람과의 만남으로 인간 소외의 극복과
볼링을 통한 스트레스 해소 및 근력 증강으로 건강한 삶을 살아가는 밑거름이 되었으면하는 바람입니다.

앞으로도 고객 여러분의 기대와 성원에 보답하기 위하여 최선을 다할 것을 약속드립니다.
감사합니다.",볼링장,a,a912,서울 성북구 장위로 126 장위쇼핑 2층 (우)02770,
,https://place.map.kakao.com/88349628#comment,0/5,볼러스레인,,볼링장,a,a914,서울 노원구 동일로204가길 34 씨앤미복합빌딩 지하2층 201호 (우)01783,
,https://place.map.kakao.com/959640787#comment,0/5,브로젝스이태원점,,볼링장,a,a105,서울 용산구 이태원로 145 (우)04351,
,https://place.map.kakao.com/17542448#comment,0/5,신촌볼링센타,,볼링장,a,a107,서울 서대문구 명지대길 103 (우)03672,
,https://place.map.kakao.com/971235147#comment,0/5,W볼링,,볼링장,a,a108,서울 강북구 도봉로 342 정준빌딩 4층 (우)01063,
,https://place.map.kakao.com/1088116242#comment,0/5,유타BK,,볼링장,a,a1010,서울 성북구 동소문로 106 (우)02845,
